Feature,p_value,adjusted_p_values,significant
Normalized_Phosphorylation,0.5066187287132986,0.8795675900318516,False
Normalized_Oxidative_Phosphorylation,0.765753903785046,0.8795675900318516,False
Normalized_Graft_vs_Host_Disease,0.4338339390710553,0.8795675900318516,False
Normalized_Aged__80_and_over,0.1801423804081684,0.8795675900318516,False
Normalized_Bone_Marrow,0.623172683758767,0.8795675900318516,False
Normalized_Immunity__Innate,0.22401112544026966,0.8795675900318516,False
Normalized_Triple_Negative_Breast_Neoplasms,0.7135381713158409,0.8795675900318516,False
Normalized_AMP_Activated_Protein_Kinases,0.413936500017165,0.8795675900318516,False
Normalized_Heterografts,0.7709748057764679,0.8795675900318516,False
Normalized_Neuroimaging,0.41504552069418943,0.8795675900318516,False
Normalized_DNA,0.21321236364115914,0.8795675900318516,False
Normalized_Flow_Cytometry,0.32440614990887406,0.8795675900318516,False
Normalized_Biodiversity,0.4973912742705451,0.8795675900318516,False
Normalized_Metabolic_Networks_and_Pathways,0.5430144344532264,0.8795675900318516,False
Normalized_Ligands,0.6830704760412194,0.8795675900318516,False
Normalized_CRISPR_Cas_Systems,0.36888676324572217,0.8795675900318516,False
Normalized_Phylogeny,0.14810196930392605,0.8795675900318516,False
Normalized_Hematopoietic_Stem_Cell_Transplantation,0.4437858875631133,0.8795675900318516,False
Normalized_Nicotine,0.5780614378906385,0.8795675900318516,False
Normalized_Cell_Differentiation,0.7532700005152287,0.8795675900318516,False
Normalized_Cell_Line__Tumor,0.3367772589498923,0.8795675900318516,False
Normalized_Resilience__Psychological,0.46490696011406785,0.8795675900318516,False
Normalized_Oxidation_Reduction,0.4453036660340115,0.8795675900318516,False
Normalized_Cell_Line,0.046402172912458045,0.8795675900318516,False
Normalized_Multiple_Sclerosis,0.68459415076886,0.8795675900318516,False
Normalized_Multiomics,0.38251126418377196,0.8795675900318516,False
Normalized_HIV_Infections,0.24007616774274246,0.8795675900318516,False
Normalized_Pandemics,0.29874309945252264,0.8795675900318516,False
Normalized_White_Matter,0.5867458189531001,0.8795675900318516,False
Normalized_Phagocytosis,0.7034942519119605,0.8795675900318516,False
Normalized_Skin_Neoplasms,0.6080921610887104,0.8795675900318516,False
Normalized_Immune_System,0.6985660413241617,0.8795675900318516,False
Normalized_Inflammasomes,0.4664097776518884,0.8795675900318516,False
Normalized_Amyloid,0.16662770676190794,0.8795675900318516,False
Normalized_Genotype,0.0932128236884155,0.8795675900318516,False
Normalized_Diabetes_Mellitus,0.4602769226360667,0.8795675900318516,False
Normalized_Single_Cell_Analysis,0.01541987804459241,0.8795675900318516,False
Normalized_Hedgehog_Proteins,0.5771511588509364,0.8795675900318516,False
Normalized_Nitrogen,0.5840585777463508,0.8795675900318516,False
Normalized_Anti_Infective_Agents,0.20148797734279297,0.8795675900318516,False
Normalized_NLR_Family__Pyrin_Domain_Containing_3_Protein,0.30724718174006294,0.8795675900318516,False
Normalized_Cell_Death,0.30584573569180007,0.8795675900318516,False
Normalized_Memory,0.5352461944040601,0.8795675900318516,False
Normalized_Epigenomics,0.5282983354264024,0.8795675900318516,False
Normalized_Receptors__Antigen__T_Cell,0.20880952198648126,0.8795675900318516,False
Normalized_Melanoma,0.18958849726593593,0.8795675900318516,False
