Feature,p_value,adjusted_p_values,significant
Biological_Evolution,3.419842592246747e-98,4.172207962541031e-96,True
Gastrointestinal_Microbiome,4.100508245558697e-58,2.501310029790805e-56,True
Phylogeny,5.800285386910856e-48,2.3587827240104147e-46,True
Computer_Simulation,9.845673327592764e-42,3.002930364915793e-40,True
Zebrafish,1.4329177125842257e-32,3.496319218705511e-31,True
Ecological_and_Environmental_Phenomena,6.129372857487755e-30,1.2463058143558435e-28,True
Alleles,6.688608673381498e-11,1.1657289402179181e-09,True
Macrophages,1.4903308119567915e-09,2.272754488234107e-08,True
Cell_Communication,2.2859793376001324e-08,3.0987719909690684e-07,True
Bacteriophages,7.565632804119383e-07,9.230072021025648e-06,True
Biodiversity,4.7005508228114585e-06,5.213338185299981e-05,True
Temperature,4.916105664029382e-05,0.0004998040758429872,True
Anti_Bacterial_Agents,0.0010527956696409042,0.009880082438168486,True
Biomechanical_Phenomena,0.0011656768050760625,0.010158040729948544,True
Diet,0.0018468626892807047,0.015021149872816398,True
Evolution__Molecular,0.006177565494471615,0.04710393689534606,True
Cryoelectron_Microscopy,0.3569827438786167,0.9998173599830835,False
Oxidation_Reduction,0.4880194445830446,0.9998173599830835,False
Pandemics,0.9990727527314344,0.9998173599830835,False
Reward,0.9908387432630761,0.9998173599830835,False
HIV_Infections,0.9958845977194144,0.9998173599830835,False
Metabolic_Networks_and_Pathways,0.9842033131670748,0.9998173599830835,False
Multiple_Sclerosis,0.9951846369005801,0.9998173599830835,False
Genetics,0.9199852747998095,0.9998173599830835,False
Hematopoietic_Stem_Cell_Transplantation,0.9993378526412076,0.9998173599830835,False
Neuronal_Plasticity,0.9801705352597679,0.9998173599830835,False
Immunity__Innate,0.9602916428640044,0.9998173599830835,False
Heterografts,0.9831508656727869,0.9998173599830835,False
Neuroimaging,0.9167989985334491,0.9998173599830835,False
Phagocytosis,0.9822679299414062,0.9998173599830835,False
Epigenomics,0.9824623043045658,0.9998173599830835,False
Cell_Differentiation,0.9814724648258403,0.9998173599830835,False
DNA,0.9669299233095385,0.9998173599830835,False
Droughts,0.35269988923395595,0.9998173599830835,False
Substance_Related_Disorders,0.9814345243171224,0.9998173599830835,False
Cytokines,0.9380500263450317,0.9998173599830835,False
COVID_19,0.983776326813706,0.9998173599830835,False
White_Matter,0.9797996089426337,0.9998173599830835,False
Melanoma,0.9985239483781035,0.9998173599830835,False
Sleep,0.9980345129684575,0.9998173599830835,False
Cocaine,0.9989378489806022,0.9998173599830835,False
Genotype,0.9745330749548335,0.9998173599830835,False
Down_Syndrome,0.9989861838841255,0.9998173599830835,False
Cell_Death,0.9465747626025014,0.9998173599830835,False
Adolescent,0.8389347636577331,0.9998173599830835,False
Pregnancy,0.9453796348444002,0.9998173599830835,False
Single_Cell_Analysis,0.8903989774037173,0.9998173599830835,False
Liver_Neoplasms,0.9928443922293021,0.9998173599830835,False
Mass_Spectrometry,0.9896721287713661,0.9998173599830835,False
Antiviral_Agents,0.993721645134355,0.9998173599830835,False
Diabetes_Mellitus,0.27373234681305375,0.9998173599830835,False
Inflammasomes,0.9998173599830835,0.9998173599830835,False
Anti_Infective_Agents,0.9996715647970718,0.9998173599830835,False
AMP_Activated_Protein_Kinases,0.9863235935240655,0.9998173599830835,False
Memory_Consolidation,0.9930514406495808,0.9998173599830835,False
Oxidative_Phosphorylation,0.9978734035063311,0.9998173599830835,False
Graft_vs_Host_Disease,0.9995054660094973,0.9998173599830835,False
Nitrogenase,0.99866376936294,0.9998173599830835,False
Bone_Marrow,0.9974959347484158,0.9998173599830835,False
NLR_Family__Pyrin_Domain_Containing_3_Protein,0.9994025590133633,0.9998173599830835,False
Genetic_Variation,0.18997416778550527,0.9998173599830835,False
Triple_Negative_Breast_Neoplasms,0.9992771210805727,0.9998173599830835,False
CRISPR_Cas_Systems,0.9568189612290321,0.9998173599830835,False
Flow_Cytometry,0.9940956003447998,0.9998173599830835,False
Nicotine,0.9925065939510088,0.9998173599830835,False
Cell_Line,0.9892633163364076,0.9998173599830835,False
Ligands,0.945033898793491,0.9998173599830835,False
Toxoplasma,0.9986294201527784,0.9998173599830835,False
Persistent_Infection,0.9869349163345786,0.9998173599830835,False
Parasites,0.9972898711621434,0.9998173599830835,False
Magnetic_Resonance_Imaging,0.9270155098361005,0.9998173599830835,False
Nutrients,0.8210133703940129,0.9998173599830835,False
Single_Cell_Gene_Expression_Analysis,0.919467291340535,0.9998173599830835,False
Stem_Cells,0.9338107569635143,0.9998173599830835,False
Carcinogenesis,0.9767045599161629,0.9998173599830835,False
Cues,0.9953108032980864,0.9998173599830835,False
Microscopy,0.825188579833228,0.9998173599830835,False
Soil,0.5012436982924774,0.9998173599830835,False
Disease_Progression,0.7629680618664734,0.9998173599830835,False
Apoptosis,0.9688469409009761,0.9998173599830835,False
Amyloid_beta_Peptides,0.7730536096824634,0.9998173599830835,False
Neurodegenerative_Diseases,0.8845797278105416,0.9998173599830835,False
Immunity,0.9811150324782371,0.9998173599830835,False
RNA,0.9212013978518343,0.9998173599830835,False
Cognitive_Dysfunction,0.835034128579225,0.9998173599830835,False
Tumor_Microenvironment,0.9818033941024364,0.9998173599830835,False
Cell_Proliferation,0.9055033614147437,0.9998173599830835,False
Proteomics,0.9609949513893888,0.9998173599830835,False
Induced_Pluripotent_Stem_Cells,0.9583850033357432,0.9998173599830835,False
Aging,0.8625065088379653,0.9998173599830835,False
Chromatin,0.9545137769807975,0.9998173599830835,False
Astrocytes,0.837365163733553,0.9998173599830835,False
Incidence,0.9448721490386877,0.9998173599830835,False
T_Lymphocytes__Regulatory,0.9939821119840293,0.9998173599830835,False
Computational_Biology,0.7333859121930157,0.9998173599830835,False
Gene_Regulatory_Networks,0.947784949098033,0.9998173599830835,False
Cell_Line__Tumor,0.782830155806322,0.9998173599830835,False
Fibroblasts,0.9907138144948503,0.9998173599830835,False
Receptors__Antigen__T_Cell,0.9973958229902945,0.9998173599830835,False
Obesity,0.9978259209845955,0.9998173599830835,False
Immune_Checkpoint_Inhibitors,0.9980880905149779,0.9998173599830835,False
Phosphorylation,0.9589038619483976,0.9998173599830835,False
Colorectal_Neoplasms,0.997520460579608,0.9998173599830835,False
Clustered_Regularly_Interspaced_Short_Palindromic_Repeats,0.9860287279175187,0.9998173599830835,False
Pancreatic_Neoplasms,0.9822527219722101,0.9998173599830835,False
Neuroinflammatory_Diseases,0.965330229710924,0.9998173599830835,False
Molecular_Biology,0.9982703328918962,0.9998173599830835,False
Resilience__Psychological,0.9506078323077907,0.9998173599830835,False
Escherichia_coli,0.8534549634993094,0.9998173599830835,False
Monocytes,0.9930022344281292,0.9998173599830835,False
Hippo_Signaling_Pathway,0.9938121485207292,0.9998173599830835,False
Survival_Rate,0.9884384356803292,0.9998173599830835,False
CD8_Positive_T_Lymphocytes,0.9958598105264248,0.9998173599830835,False
T_Lymphocytes,0.8948050310767157,0.9998173599830835,False
Multiomics,0.9304599199369659,0.9998173599830835,False
Virus_Diseases,0.9884397566239637,0.9998173599830835,False
Organoids,0.8735763646796242,0.9998173599830835,False
Synapses,0.972469385098826,0.9998173599830835,False
Mitochondria,0.9618016718376952,0.9998173599830835,False
Child,0.8202409913669552,0.9998173599830835,False
Aged__80_and_over,0.9817486421536804,0.9998173599830835,False
Interdisciplinary_Research,0.464212626892858,0.9998173599830835,False
