Faculty_Full_Name,Cluster
"Allison, Steven",0
"Arora, Kavita",1
"Atwood, Scott",1
"Azizi, Emanuel",0
"Baker, Nicholas",4
"Bardwell, Lee",1
"Blumberg, Bruce",3
"Blurton-Jones, Mathew",3
"Bracken, Matthew",0
"Briscoe, Adriana",0
"Burley, Nancy",4
"Busciglio, Jorge",2
"Cahill, Larry",2
"Cho, Ken",1
"Chrastil, Elizabeth",4
"Cinquin, Olivier",2
"Cocco, Melanie",4
"Cohen-Cory, Susana",2
"Connor, Kwasi",4
"Cramer, Karina",1
"Daley, Monica",0
"Donovan, Peter",2
"Drayman, Nir",1
"Edinger, Aimee",4
"Emerson, J.J.",0
"Eom, Dae Seok",3
"Faiola, Celia",0
"Fortin, Norbert",4
"Fowler, Christie",2
"Frank, Steven",0
"Frostig, Ron",2
"Fruman, David",1
"Gaut, Brandon",0
"German, Donovan",3
"Gershon, Paul",1
"Glabe, Charles",1
"Gonen, Shane",3
"Goulding, Celia",4
"Green, Kim",3
"Green, Michael",1
"Grill, Joshua",2
"Gross, Steven",0
"Halbrook, Christopher",3
"Hammer, Tobin",3
"Hu, Yilin",1
"Hughes, Christopher",1
"Huxman, Travis",0
"Inlay, Matthew",2
"James, Anthony",4
"Kawas, Claudia",2
"Kim, Seungsoo",4
"Kong, Mei",1
"Konieczny, Piotr",4
"Kvon, Evgeny",0
"LaFerla, Frank",2
"Lamb, Joleah",0
"Lander, Arthur",3
"Lane, Thomas",3
"Lara-Gonzalez, Pablo",1
"Lee, Grace",0
"Lodoen, Melissa",3
"Long, Anthony",0
"Luo, Ray",4
"Lur, Gyorgy",0
"Lutterschmidt, Deborah",0
"MacGregor, Grant",3
"Mahler, Stephen",1
"Martinez, Christopher",0
"Martiny, Adam",0
"Martiny, Jennifer",3
"McHenry, Matthew",0
"McNaughton, Bruce",4
"McNulty, Reginald",3
"Metherate, Raju",2
"Mooney, Kailen",0
"Morehouse, Benjamin",4
"Morrissette, Naomi",1
"Mortazavi, Ali",2
"Nicholas, Dequina",4
"Nie, Qing",3
"Parsons, Michael",3
"Pizzagalli, Diego",4
"Plikus, Maksim",3
"Ranz, Jose",0
"Razorenova, Olga",2
"Rebolleda-Gomez, Maria",0
"Ribbe, Markus",1
"Rodriguez Verdugo, Alejandra",0
"Schechtman-Drayman, Eitan",2
"Schilling, Thomas",3
"Shi, Xiaoyu",2
"Sorte, Cascade",0
"Stark, Craig",2
"Striedter, Georg",0
"Suetterlin, Christine",1
"Sumikawa, Katumi",2
"Sun, Sha",4
"Swarup, Vivek",3
"Symons, Celia",0
"Tenner, Andrea",1
"Thompson-Peer, Katherine",0
"Thompson, Leslie",2
"Thornton, Kevin",0
"Tinoco, Roberto",3
"Treseder, Kathleen",0
"Tsai, Shiou-Chuan",1
"Walsh, Craig",3
"Wang, Wenqi",2
"Warrior, Rahul",1
"Whiteson, Katrine",3
"Wiles, Travis",3
"Wood, Marcelo",2
"Xue, Katherine",3
"Yassa, Michael",2
